Unintentional harm,Intentional harm,Ambiguous character,Comprehension question,MCQ Answer,MCQ Option 2,MCQ Option 3,Actor ,Type of harm,Human or Work Transgression,Actor & affected party,Relational context specific,Authors,Year,doi
"Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia knows her cousin attending the dinner has a peanut allergy. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin struggles to breathe and the family rush for her epipen. ","Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia knows her cousin attending the dinner has a peanut allergy. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin struggles to breathe and the family rush for her epipen. ","Sofia is cooking dinner for a family gathering. She has been perfecting a curry recipe. Sofia lays the table and passes out drinks to everyone. Sofia adds peanuts to every plate and serves. Her cousin takes a large mouthful. Within a few minutes, her cousin struggles to breathe and the family rush for her epipen. ",What is Sofia's cousin allergic to? ,Peanuts,People,Legumes,Sofia ,Physical ,H,Family ,N,"Koster-Hale, Saxe, Dungan & Young",2013,https://doi.org/10.1073/pnas.1207992113
"Matthew takes an advanced high school English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew does not know a student in the class wrote the essay. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.","Matthew takes an advanced high school English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew does not know a student in the class wrote the essay. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.","Matthew takes an advanced high school English class. To prepare for their assignment, the teacher passes out a sample essay for class discussion. Matthew puts his notepad and pen out on the desk. Matthew says in front of the class that the essay must have been written by a third-grader. The student who wrote the essay leaves the room.",What is Matthew reading in class? ,Sample essay,Textbook ,Novel ,Matthew,Emotional ,H,Classmates ,N,"Koster-Hale, Saxe, Dungan & Young",2013,https://doi.org/10.1073/pnas.1207992111
"Eleanor is swimming at a communal pool. A young girl is preparing to dive in. Eleanor believes that the girl is being supervised by her parents. Eleanor walks by, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming. ","Eleanor has been swimming at a communal pool. A young girl is preparing to dive in. Eleanor believes the child is not being supervised by her parents. Eleanor walks by, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming.","Eleanor has been swimming at the public pool. A young girl is preparing to dive in. Eleanor walks over to collect her towel and toiletries, by the side of the pool. Eleanor walks by, without saying anything to the girl. The girl hits her head at the shallow end of the pool and starts screaming.",Where does the young girl hit her head? ,Shallow end of the pool,Waterslide,Diving board,Eleanor,Physical ,H,Stranger & young girl ,N,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. Emma reads this patient's records and believes they are not allergic to latex. Emma puts on latex gloves and examines her patient. Before long, the patient has an allergic reaction to the gloves and goes into shock.","Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. Emma reads the patient's records and believes they are allergic to latex. Emma puts on latex gloves and examines her patient. Before long, the patient has an allergic reaction to the gloves and goes into shock.","Emma works as a medical doctor. Today she has a routine examination and typically, she wears latex gloves. She asks the patient to roll their sleeves up, to see their arm. Emma puts on latex gloves and examines her patient. Before long, the patient has an allergic reaction to the gloves and goes into shock.",What are Emma's gloves made of? ,Latex,Cotton,Leather ,Emma,Physical ,W,Doctor & patient,Y,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. He believes the swimmer is waving an enthusiastic ""hello"". William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns.","William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. He believes that the swimmer is desperate for help. William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns.","William is driving his motorboat in the bay, after a trip to a secluded beach. He spots a swimmer in the far distance. William adjusts his hands on his the steering wheel. William drives past, leaving the swimmer behind. No one else sees the swimmer's cry for help and the swimmer drowns. ",What is William driving?,Motorboat ,Car,Motor Bicycle,William,Physical ,H,Strangers,N,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail believes she has sobered up. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control. She has to brake suddenly and her friend hits her head hard on the dashboard.","Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail believes she has not sobered up. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control. She has to brake suddenly and her friend hits her head hard on the dashboard.","Abigail is at a bar, drinking alcoholic cocktails. At the end of the night, Abigail makes a stop at the bathroom. Abigail decides to leave and gives her friend a lift home. On the road, Abigail is out of control. She has to brake suddenly and her friend hits her head hard on the dashboard.",What does Abigail's friend injure?,Head,Ankle,Knees,Abigail,Physical ,H,Friends,N,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. He does not know the new supplier has out-of-date fish. That week, he serves this supply of tuna fish to his customers. Many customers who order the tuna leave the restaurant with severe food poisoning. ","Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. He knows the new supplier has out-of-date fish. That week, he serves this supply of tuna fish to his customers. Many customers who order the tuna leave the restaurant with severe food poisoning. ","Sebastian is a chef at a sushi bar. Recently, Sebastian has changed his tuna fish supplier to save money. Sebastian makes a list of the other fish the kitchen needs. That week, he serves this supply of tuna fish to his customers. Many customers who order the tuna leave the restaurant with severe food poisoning. ",What makes Sebastian's customers ill? ,Tuna fish,Curry,Trout fish,Sebastian,Physical ,W,Chef & customers,Y,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
Lucas and his brother are camping in the woods. There are wild mushrooms are growing and Lucas studies them by consulting his plant life guide. Lucas believes these mushrooms match the edible mushrooms in his guide. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing. ,Lucas and his brother are camping in the woods. There are wild mushrooms are growing and Lucas studies them by consulting his plant life guide. He believes these mushrooms do not match the edible mushrooms in his guide. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing. ,"Lucas and his brother are camping in the woods. There are wild mushrooms are growing and Lucas studies them by consulting his plant life guide. He puts his raincoat on, as it looks like it is starting to rain. Lucas gives the mushrooms to his brother. Lucas' brother eats them and 10 minutes later he starts convulsing. ",What does Lucas' offer to his brother to eat? ,Mushrooms,Berries,Leaves,Lucas,Physical ,H,Family ,N,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Elizabeth is at the airport. There is an elderly woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign. Elizabeth believes that this woman has seen this sign. Elizabeth does not warn her of the wet floor. The elderly woman falls over and misses her flight to wait for medical attention. ","Elizabeth is at the airport. There is an elderly woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign in front of the lady. Elizabeth believes that this woman has seen this sign. Elizabeth does not warn her of the wet floor. The elderly woman falls over and misses her flight to wait for medical attention. ","Elizabeth is at the airport. There is an elderly woman running through the terminal. The floor has just been mopped, and there is a “Wet Floor” sign in front of the lady. Elizabeth visits the vending machine for a drink.  Elizabeth does not warn her of the wet floor. The elderly woman falls over and misses her flight to wait for medical attention. ",Where is Elizabeth? ,Airport terminal,Train station ,Bus stop,Elizabeth,Physical ,H,Strangers,N,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
"Daniel is showing a visitor around his chemistry laboratory. The laboratory need to be checked for toxic gas, before anyone enters. Daniel believes the laboratory is safe. He tells the visitor to enter. The visitor soon starts gasping for air and collapses.","Daniel is showing a visitor around his chemistry laboratory. The laboratory need to be checked for toxic gas, before anyone enters. Daniel believes the laboratory is not safe. He tells the visitor to enter. The visitor soon starts gasping for air and collapses.","Daniel is showing a visitor around his chemistry laboratory. The laboratory need to be checked for toxic gas, before anyone enters. Daniel opens the door and turns the lights on. He tells the visitor to enter.  The visitor soon starts gasping for air and collapses.",What is the laboratory contaminated with? ,Toxic gas ,Infectious diseases,Cleaning products,Daniel,Physical ,W,Professional & visitors,Y,Young & Saxe,2008,https://doi.org/10.1016/j.neuroimage.2008.01.057
